#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-07-05T09:44:57 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60e2d1d9265dba	
#INFO	-out.max=unlimited	
#INFO	queryParameters=23	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=J/A+A/600/A30/tablea
#-nav=cat:J/A+A/600/A30&tab:{J/A+A/600/A30/tablea}&key:source=J/A+A/600/A30/tablea&HTTPPRM:&&-ref=VIZ60e2d1d9265dba&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-order=I&-out=logg&logg=4.5&-out=Teff&Teff=3500..30000&-out=Z&Z=0.0&-out=L/HP&-out=a1LSM&-out=a2LSM&-out=a3LSM&-out=a4LSM&-out=chi2&-out=Type&-out=Mod&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/A+A/600/A30/tablea
#-source=J/A+A/600/A30/tablea
#-out=logg
#logg=4.5
#-out=Teff
#Teff=3500..30000
#-out=Z
#Z=0.0
#-out=L/HP
#-out=a1LSM
#-out=a2LSM
#-out=a3LSM
#-out=a4LSM
#-out=chi2
#-out=Type
#-out=Mod
#
#RESOURCE=yCat_36000030
#Name: J/A+A/600/A30
#Title: Limb-darkening for TESS satellite (Claret, 2017)
#Table	J_A_A_600_A30_tablea:
#Name: J/A+A/600/A30/tablea
#Title: a_1,a_2,a_3,a LDCs PHOENIX (tables 10, 11, 12, 21, 22, 23
#Column	logg	(F5.2)	[2.5/6.0] Surface gravity	[ucd=phys.gravity]
#Column	Teff	(F6)	[1500/12000] Effective temperature	[ucd=phys.temperature.effective]
#Column	Z	(F4.1)	[0] Metallicity (log[M/H])	[ucd=phys.abund.Z]
#Column	L/HP	(F4.1)	[2] Mixing-length parameter	[ucd=stat.fit.param]
#Column	a1LSM	(F9.4)	Equation 5 limb darkening coefficient a1 (TESS LSM) (G2)	[ucd=phot.limbDark]
#Column	a2LSM	(F9.4)	Equation 5 limb darkening coefficient a2 (TESS LSM) (G2)	[ucd=phot.limbDark]
#Column	a3LSM	(F8.4)	Equation 5 limb darkening coefficient a3 (TESS LSM) (G2)	[ucd=phot.limbDark]
#Column	a4LSM	(F8.4)	Equation 5 limb darkening coefficient a4 (TESS LSM) (G2)	[ucd=phot.limbDark]
#Column	chi2	(F7.4)	SQRT(CHI2Q) (TESS LSM)	[ucd=stat.fit.chi2]
#Column	Type	(A1)	[qsr] PHOENIX type of model (G1)	[ucd=meta.id;stat.fit]
#Column	Mod	(A2)	[PD PC A] Model name (G3)	[ucd=meta.id;stat.fit]
logg;Teff;Z;L/HP;a1LSM;a2LSM;a3LSM;a4LSM;chi2;Type;Mod
[cm/s2];K;[Sun]; ; ; ; ; ; ; ;
-----;------;----;----;---------;---------;--------;--------;-------;-;--
 4.50;  3500; 0.0; 2.0;   3.5298;  -5.6961;  5.1217; -1.7245; 0.0190;q;PC
 4.50;  3600; 0.0; 2.0;   3.2462;  -5.1383;  4.6375; -1.5639; 0.0171;q;PC
 4.50;  3700; 0.0; 2.0;   2.9968;  -4.6499;  4.2192; -1.4250; 0.0156;q;PC
 4.50;  3800; 0.0; 2.0;   2.7540;  -4.1651;  3.8010; -1.2820; 0.0135;q;PC
 4.50;  3900; 0.0; 2.0;   2.4480;  -3.5664;  3.2848; -1.1025; 0.0114;q;PC
 4.50;  4000; 0.0; 2.0;   2.3134;  -3.3664;  3.1591; -1.0559; 0.0108;q;PC
 4.50;  4100; 0.0; 2.0;   2.0004;  -2.7852;  2.6984; -0.8991; 0.0091;q;PC
 4.50;  4200; 0.0; 2.0;   1.9046;  -2.7582;  2.7911; -0.9414; 0.0093;q;PC
 4.50;  4300; 0.0; 2.0;   1.8488;  -2.8112;  2.9790; -1.0291; 0.0102;q;PC
 4.50;  4400; 0.0; 2.0;   1.9807;  -3.2921;  3.5529; -1.2464; 0.0107;q;PC
 4.50;  4500; 0.0; 2.0;   2.0011;  -3.3222;  3.5487; -1.2351; 0.0103;q;PC
 4.50;  4600; 0.0; 2.0;   1.9435;  -3.1941;  3.4295; -1.2015; 0.0101;q;PC
 4.50;  4700; 0.0; 2.0;   1.9455;  -3.1848;  3.4129; -1.2006; 0.0101;q;PC
 4.50;  4800; 0.0; 2.0;   1.9419;  -3.1597;  3.3771; -1.1914; 0.0101;q;PC
 4.50;  4900; 0.0; 2.0;   1.9520;  -3.1667;  3.3746; -1.1949; 0.0103;q;PC
 4.50;  5100; 0.0; 2.0;   2.0751;  -3.4224;  3.5854; -1.2694; 0.0106;q;PC
 4.50;  5200; 0.0; 2.0;   2.0755;  -3.4218;  3.5777; -1.2693; 0.0105;q;PC
 4.50;  5300; 0.0; 2.0;   2.0737;  -3.4187;  3.5682; -1.2682; 0.0105;q;PC
 4.50;  5400; 0.0; 2.0;   2.0612;  -3.3941;  3.5402; -1.2608; 0.0104;q;PC
 4.50;  5500; 0.0; 2.0;   2.0664;  -3.4135;  3.5548; -1.2678; 0.0104;q;PC
 4.50;  5600; 0.0; 2.0;   2.0621;  -3.4078;  3.5456; -1.2666; 0.0104;q;PC
 4.50;  5700; 0.0; 2.0;   2.0742;  -3.4343;  3.5636; -1.2736; 0.0103;q;PC
 4.50;  5800; 0.0; 2.0;   2.1113;  -3.5194;  3.6644; -1.3275; 0.0114;q;PC
 4.50;  5900; 0.0; 2.0;   2.1052;  -3.5142;  3.6639; -1.3306; 0.0116;q;PC
 4.50;  6000; 0.0; 2.0;   2.1174;  -3.5363;  3.6702; -1.3324; 0.0118;q;PC
 4.50;  6100; 0.0; 2.0;   2.1346;  -3.5831;  3.7158; -1.3513; 0.0119;q;PC
